epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.2453,0.88137,3.73908,1.07972,0.00301,0.77954,0.20284,0.16233,0.65474,3.16729,0.93575,0.00141114,0.000470379,0.00141114,0.000470379,0.00141114,0.000470379,0.00141114,0.000470379
2,44.9696,0.81916,3.49007,1.02387,0.29987,0.68703,0.34803,0.28742,0.63664,2.54157,0.88253,0.00282889,0.000942964,0.00282889,0.000942964,0.00282889,0.000942964,0.00282889,0.000942964
3,62.9892,0.81087,3.03785,0.99447,0.32463,0.90087,0.4075,0.33952,0.63429,2.83489,0.8746,0.00423533,0.00141178,0.00423533,0.00141178,0.00423533,0.00141178,0.00423533,0.00141178
4,80.9173,0.76608,2.69386,0.97777,0.34015,0.87495,0.40271,0.33313,0.67003,2.24513,0.88647,0.00423607,0.00141202,0.00423607,0.00141202,0.00423607,0.00141202,0.00423607,0.00141202
5,98.5857,0.79956,2.49159,0.99931,0.32115,0.88345,0.44759,0.38077,0.63606,1.92218,0.88044,0.00421909,0.00140636,0.00421909,0.00140636,0.00421909,0.00140636,0.00421909,0.00140636
6,116.339,0.75197,2.30214,0.95273,0.58914,0.6117,0.6354,0.54164,0.63728,1.63992,0.87932,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071
7,133.992,0.76567,2.03341,0.96305,0.66709,0.74886,0.79579,0.67755,0.64973,1.39953,0.8886,0.00418514,0.00139505,0.00418514,0.00139505,0.00418514,0.00139505,0.00418514,0.00139505
8,151.827,0.74345,1.87307,0.94742,0.8518,0.85772,0.88394,0.7664,0.62757,1.247,0.88246,0.00416816,0.00138939,0.00416816,0.00138939,0.00416816,0.00138939,0.00416816,0.00138939
9,169.689,0.74342,1.78404,0.97351,0.87634,0.89064,0.92671,0.79425,0.65898,1.07614,0.89,0.00415119,0.00138373,0.00415119,0.00138373,0.00415119,0.00138373,0.00415119,0.00138373
10,189.971,0.7025,1.65972,0.94233,0.91839,0.96704,0.974,0.82604,0.65162,1.00178,0.89763,0.00413421,0.00137807,0.00413421,0.00137807,0.00413421,0.00137807,0.00413421,0.00137807
11,212.359,0.72049,1.53316,0.94834,0.94786,0.98205,0.98984,0.8417,0.67049,0.92225,0.90248,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
12,231.881,0.69292,1.46041,0.9464,0.94412,0.98568,0.98023,0.8269,0.6861,0.90352,0.90416,0.00410026,0.00136675,0.00410026,0.00136675,0.00410026,0.00136675,0.00410026,0.00136675
13,249.493,0.7156,1.41044,0.93925,0.86742,0.99146,0.95361,0.81607,0.65786,0.92539,0.89948,0.00408328,0.00136109,0.00408328,0.00136109,0.00408328,0.00136109,0.00408328,0.00136109
14,267.166,0.71513,1.37435,0.94701,0.94894,0.95727,0.98405,0.84079,0.66027,0.90559,0.90491,0.00406631,0.00135544,0.00406631,0.00135544,0.00406631,0.00135544,0.00406631,0.00135544
15,284.715,0.68516,1.31114,0.93876,0.93105,0.98541,0.98984,0.83062,0.70018,0.86919,0.91005,0.00404933,0.00134978,0.00404933,0.00134978,0.00404933,0.00134978,0.00404933,0.00134978
16,302.121,0.65554,1.27016,0.92146,0.94883,0.98926,0.98952,0.8339,0.67456,0.85327,0.89781,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
17,319.695,0.67547,1.18608,0.9296,0.99095,0.99182,0.995,0.84962,0.66203,0.77595,0.89071,0.00401538,0.00133846,0.00401538,0.00133846,0.00401538,0.00133846,0.00401538,0.00133846
18,337.395,0.68445,1.26256,0.91615,0.9838,0.97436,0.99333,0.85295,0.62924,0.75094,0.88454,0.0039984,0.0013328,0.0039984,0.0013328,0.0039984,0.0013328,0.0039984,0.0013328
19,354.861,0.66059,1.20352,0.92717,0.95991,0.99647,0.99333,0.85385,0.62495,0.73676,0.88394,0.00398142,0.00132714,0.00398142,0.00132714,0.00398142,0.00132714,0.00398142,0.00132714
20,372.167,0.65001,1.18313,0.92176,0.96793,1,0.99143,0.84476,0.60573,0.77097,0.87754,0.00396445,0.00132148,0.00396445,0.00132148,0.00396445,0.00132148,0.00396445,0.00132148
